subject_id,trial_id,emg_channel,torque_channel,lag_sec,sign_convention_verified,body_mass_normalized,side_mapping_scope
Sub31,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,0.6624999990312501,False,unknown,SIAT left-limb reference
Sub31,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-4.259895838859377,False,unknown,SIAT left-limb reference
Sub31,T01,sEMG: soleus,Kinetic: left ankle flexion torque,6.284374998703125,False,unknown,SIAT left-limb reference
Sub32,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-2.7807291701093755,False,unknown,SIAT left-limb reference
Sub32,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-3.794791666859374,False,unknown,SIAT left-limb reference
Sub32,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-2.8005208360937504,False,unknown,SIAT left-limb reference
Sub33,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,6.101041666593751,False,unknown,SIAT left-limb reference
Sub33,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,5.810416665890626,False,unknown,SIAT left-limb reference
Sub33,T01,sEMG: soleus,Kinetic: left ankle flexion torque,4.559895832703126,False,unknown,SIAT left-limb reference
Sub34,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-3.2328125020624983,False,unknown,SIAT left-limb reference
Sub34,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,5.705729171156251,False,unknown,SIAT left-limb reference
Sub34,T01,sEMG: soleus,Kinetic: left ankle flexion torque,2.29062500325,False,unknown,SIAT left-limb reference
Sub35,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,0.688020838734376,False,unknown,SIAT left-limb reference
Sub35,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,2.2343750060000023,False,unknown,SIAT left-limb reference
Sub35,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-3.1229166627968734,False,unknown,SIAT left-limb reference
Sub36,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-0.567187501374999,False,unknown,SIAT left-limb reference
Sub36,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,0.8614583342968771,False,unknown,SIAT left-limb reference
Sub36,T01,sEMG: soleus,Kinetic: left ankle flexion torque,12.690624995437503,False,unknown,SIAT left-limb reference
Sub37,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,3.805729171359377,False,unknown,SIAT left-limb reference
Sub37,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-0.4218749978749994,False,unknown,SIAT left-limb reference
Sub37,T01,sEMG: soleus,Kinetic: left ankle flexion torque,1.7057291686718754,False,unknown,SIAT left-limb reference
Sub38,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,1.0812500048749998,False,unknown,SIAT left-limb reference
Sub38,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-0.34114583156250156,False,unknown,SIAT left-limb reference
Sub38,T01,sEMG: soleus,Kinetic: left ankle flexion torque,4.035937504609375,False,unknown,SIAT left-limb reference
Sub39,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,-2.5890625035625012,False,unknown,SIAT left-limb reference
Sub39,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-1.514583334421876,False,unknown,SIAT left-limb reference
Sub39,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-0.4848958343906258,False,unknown,SIAT left-limb reference
Sub40,T01,sEMG: lateral gastrocnemius,Kinetic: left ankle flexion torque,1.1380208341718747,False,unknown,SIAT left-limb reference
Sub40,T01,sEMG: medial gastrocnemius,Kinetic: left ankle flexion torque,-0.46979166612500034,False,unknown,SIAT left-limb reference
Sub40,T01,sEMG: soleus,Kinetic: left ankle flexion torque,-0.4546874996718753,False,unknown,SIAT left-limb reference
