subject_id,trial_id,channel,peak_time,peak_phase_interval,emg_processing,torque_peak_definition
Sub10,T01,Kinetic: left knee flexion torque,0.4630208359375,MSE-TO,,maximum
Sub10,T01,Kinetic: left ankle flexion torque,5.889062501328125,HS-MSF,,maximum
Sub10,T01,Kinetic: right hip adduction torque,4.767708334890625,MSE-TO,,maximum
Sub10,T01,Kinetic: right hip flexion torque,2.1182291679375,MWF-HS,,maximum
Sub10,T01,Kinetic: right knee flexion torque,3.047395837062501,MWF-HS,,maximum
Sub10,T01,Kinetic: right ankle flexion torque,0.5796875004375,MSE-TO,,maximum
Sub10,T01,sEMG: tensor fascia lata,4.35989583590625,HS-MSF,rectified_envelope,
Sub10,T01,sEMG: rectus femoris,4.379166667421876,HS-MSF,rectified_envelope,
Sub10,T01,sEMG: vastus medialis,0.144791666046875,HS-MSF,rectified_envelope,
Sub10,T01,sEMG: semimembranosus,5.686979168140625,MWF-HS,rectified_envelope,
Sub10,T01,sEMG: upper tibialis anterior,4.346875002890625,HS-MSF,rectified_envelope,
Sub10,T01,sEMG: lower tibialis anterior,0.19114583296875,MSF-MSE,rectified_envelope,
Sub10,T01,sEMG: lateral gastrocnemius,3.67447917278125,MSE-TO,rectified_envelope,
Sub10,T01,sEMG: medial gastrocnemius,2.5859375014375,MSE-TO,rectified_envelope,
Sub10,T01,sEMG: soleus,1.640625001078125,MSE-TO,rectified_envelope,
Sub11,T01,Kinetic: left hip adduction torque,3.716145833281251,MSE-TO,,maximum
Sub11,T01,Kinetic: left hip flexion torque,12.401041676031252,MSE-TO,,maximum
Sub11,T01,Kinetic: left knee flexion torque,6.171354170156251,MSE-TO,,maximum
Sub11,T01,Kinetic: left ankle flexion torque,10.4312500098125,HS-MSF,,maximum
Sub11,T01,Kinetic: right hip adduction torque,3.615624999984376,MSE-TO,,maximum
Sub11,T01,Kinetic: right hip flexion torque,2.847395835312501,MWF-HS,,maximum
Sub11,T01,Kinetic: right knee flexion torque,1.30833333275,MWF-HS,,maximum
Sub11,T01,Kinetic: right ankle flexion torque,2.2000000025,MSE-TO,,maximum
Sub11,T01,sEMG: tensor fascia lata,7.577083340062502,MWF-HS,rectified_envelope,
Sub11,T01,sEMG: rectus femoris,9.104166676031252,HS-MSF,rectified_envelope,
Sub11,T01,sEMG: vastus medialis,4.414062505421876,HS-MSF,rectified_envelope,
Sub11,T01,sEMG: semimembranosus,9.079166673468752,HS-MSF,rectified_envelope,
Sub11,T01,sEMG: upper tibialis anterior,3.090104168734376,MSF-MSE,rectified_envelope,
Sub11,T01,sEMG: lower tibialis anterior,11.850520842734376,HS-MSF,rectified_envelope,
Sub11,T01,sEMG: lateral gastrocnemius,10.940104175328129,MSF-MSE,rectified_envelope,
Sub11,T01,sEMG: medial gastrocnemius,1.91770833696875,MSF-MSE,rectified_envelope,
Sub11,T01,sEMG: soleus,8.278125006593752,MSE-TO,rectified_envelope,
Sub12,T01,Kinetic: left hip adduction torque,5.667708336515625,HS-MSF,,maximum
Sub12,T01,Kinetic: left hip flexion torque,7.206249999734377,MSE-TO,,maximum
Sub12,T01,Kinetic: left knee flexion torque,9.188541663640626,MSE-TO,,maximum
Sub12,T01,Kinetic: left ankle flexion torque,5.668229169781251,HS-MSF,,maximum
Sub12,T01,Kinetic: right hip adduction torque,1.613541670078125,MSE-TO,,maximum
Sub12,T01,Kinetic: right hip flexion torque,3.0578125038125,MWF-HS,,maximum
Sub12,T01,Kinetic: right knee flexion torque,3.60989584165625,MSE-TO,,maximum
Sub12,T01,Kinetic: right ankle flexion torque,3.643229171656251,MSE-TO,,maximum
Sub12,T01,sEMG: tensor fascia lata,9.962499999359377,MSF-MSE,rectified_envelope,
Sub12,T01,sEMG: rectus femoris,5.724479168968751,HS-MSF,rectified_envelope,
Sub12,T01,sEMG: vastus medialis,8.863541665890626,HS-MSF,rectified_envelope,
Sub12,T01,sEMG: semimembranosus,5.623437502437501,HS-MSF,rectified_envelope,
Sub12,T01,sEMG: upper tibialis anterior,2.743229172375,TO-MWF,rectified_envelope,
Sub12,T01,sEMG: lower tibialis anterior,9.616145832375002,MWF-HS,rectified_envelope,
Sub12,T01,sEMG: lateral gastrocnemius,10.269791665453129,MSE-TO,rectified_envelope,
Sub12,T01,sEMG: medial gastrocnemius,7.105208333140625,MSE-TO,rectified_envelope,
Sub12,T01,sEMG: soleus,0.519791669421875,MSE-TO,rectified_envelope,
Sub13,T01,Kinetic: left hip adduction torque,11.8906249955625,HS-MSF,,maximum
Sub13,T01,Kinetic: left hip flexion torque,12.585416662906251,MSE-TO,,maximum
Sub13,T01,Kinetic: left knee flexion torque,11.092187495875,MSE-TO,,maximum
Sub13,T01,Kinetic: left ankle flexion torque,9.078124997859376,HS-MSF,,maximum
Sub13,T01,Kinetic: right hip adduction torque,6.15260416140625,MSE-TO,,maximum
Sub13,T01,Kinetic: right hip flexion torque,2.705208331703125,MWF-HS,,maximum
Sub13,T01,Kinetic: right knee flexion torque,5.428124996484375,MWF-HS,,maximum
Sub13,T01,Kinetic: right ankle flexion torque,0.7286458335625,MSE-TO,,maximum
Sub13,T01,sEMG: tensor fascia lata,9.4526041618125,MSF-MSE,rectified_envelope,
Sub13,T01,sEMG: rectus femoris,13.291666662468748,HS-MSF,rectified_envelope,
Sub13,T01,sEMG: vastus medialis,13.311979165265626,HS-MSF,rectified_envelope,
Sub13,T01,sEMG: semimembranosus,8.955208328296875,MWF-HS,rectified_envelope,
Sub13,T01,sEMG: upper tibialis anterior,9.758854161375,MSE-TO,rectified_envelope,
Sub13,T01,sEMG: lower tibialis anterior,13.813020832140626,MSE-TO,rectified_envelope,
Sub13,T01,sEMG: lateral gastrocnemius,3.334895833421875,MSE-TO,rectified_envelope,
Sub13,T01,sEMG: medial gastrocnemius,11.0114583285625,MSF-MSE,rectified_envelope,
Sub13,T01,sEMG: soleus,12.5177083298125,MSF-MSE,rectified_envelope,
Sub14,T01,Kinetic: left hip adduction torque,2.751562497203126,MSE-TO,,maximum
Sub14,T01,Kinetic: left hip flexion torque,8.998437496656251,MSE-TO,,maximum
Sub14,T01,Kinetic: left knee flexion torque,8.461458328671876,HS-MSF,,maximum
Sub14,T01,Kinetic: left ankle flexion torque,7.348437496656251,HS-MSF,,maximum
Sub14,T01,Kinetic: right hip adduction torque,0.578645832015625,MSE-TO,,maximum
Sub14,T01,Kinetic: right hip flexion torque,5.370312499375002,MWF-HS,,maximum
Sub14,T01,Kinetic: right knee flexion torque,1.6541666675,MSE-TO,,maximum
Sub14,T01,Kinetic: right ankle flexion torque,6.318749999640626,MSF-MSE,,maximum
Sub14,T01,sEMG: tensor fascia lata,2.329166666375001,MSF-MSE,rectified_envelope,
Sub14,T01,sEMG: rectus femoris,3.345833331078126,HS-MSF,rectified_envelope,
Sub14,T01,sEMG: vastus medialis,3.336979164468751,HS-MSF,rectified_envelope,
Sub14,T01,sEMG: semimembranosus,6.174479165562501,HS-MSF,rectified_envelope,
Sub14,T01,sEMG: upper tibialis anterior,10.626562494140629,MWF-HS,rectified_envelope,
Sub14,T01,sEMG: lower tibialis anterior,6.720312499437501,MSE-TO,rectified_envelope,
Sub14,T01,sEMG: lateral gastrocnemius,4.876041665296877,MSE-TO,rectified_envelope,
Sub14,T01,sEMG: medial gastrocnemius,8.953645829312501,MSE-TO,rectified_envelope,
Sub14,T01,sEMG: soleus,8.973437494921876,MSE-TO,rectified_envelope,
Sub15,T01,Kinetic: left hip adduction torque,9.097916664562502,HS-MSF,,maximum
Sub15,T01,Kinetic: left hip flexion torque,1.548437502750001,MSE-TO,,maximum
Sub15,T01,Kinetic: left knee flexion torque,9.514583330062504,MSE-TO,,maximum
Sub15,T01,Kinetic: left ankle flexion torque,5.826041668078127,HS-MSF,,maximum
Sub15,T01,Kinetic: right hip adduction torque,2.647916670078126,MSE-TO,,maximum
Sub15,T01,Kinetic: right hip flexion torque,1.0218750029375,MWF-HS,,maximum
Sub15,T01,Kinetic: right knee flexion torque,3.727083334640626,MSE-TO,,maximum
Sub15,T01,Kinetic: right ankle flexion torque,10.242187499156252,HS-MSF,,maximum
Sub15,T01,sEMG: tensor fascia lata,6.137499999921877,MSF-MSE,rectified_envelope,
Sub15,T01,sEMG: rectus femoris,6.003124998515627,MSF-MSE,rectified_envelope,
Sub15,T01,sEMG: vastus medialis,6.970312496890627,HS-MSF,rectified_envelope,
Sub15,T01,sEMG: semimembranosus,8.386979166500002,MSE-TO,rectified_envelope,
Sub15,T01,sEMG: upper tibialis anterior,6.980729165640627,HS-MSF,rectified_envelope,
Sub15,T01,sEMG: lower tibialis anterior,1.1463541696875,HS-MSF,rectified_envelope,
Sub15,T01,sEMG: lateral gastrocnemius,4.727604167875001,MSE-TO,rectified_envelope,
Sub15,T01,sEMG: medial gastrocnemius,10.552604167906251,MSE-TO,rectified_envelope,
Sub15,T01,sEMG: soleus,4.760416664781252,MSE-TO,rectified_envelope,
Sub16,T01,Kinetic: left hip adduction torque,6.278124998375,TO-MWF,,maximum
Sub16,T01,Kinetic: left hip flexion torque,12.147395828109378,MSE-TO,,maximum
Sub16,T01,Kinetic: left knee flexion torque,12.865624996015628,HS-MSF,,maximum
Sub16,T01,Kinetic: left ankle flexion torque,7.428124995625002,HS-MSF,,maximum
Sub16,T01,Kinetic: right hip adduction torque,0.688541664375,MSE-TO,,maximum
Sub16,T01,Kinetic: right hip flexion torque,2.540104164140625,MWF-HS,,maximum
Sub16,T01,Kinetic: right knee flexion torque,6.011458328375001,MSE-TO,,maximum
Sub16,T01,Kinetic: right ankle flexion torque,10.568749995843753,MSF-MSE,,maximum
Sub16,T01,sEMG: tensor fascia lata,5.510937495078125,HS-MSF,rectified_envelope,
Sub16,T01,sEMG: rectus femoris,8.83854166065625,HS-MSF,rectified_envelope,
Sub16,T01,sEMG: vastus medialis,5.285937499593751,MWF-HS,rectified_envelope,
Sub16,T01,sEMG: semimembranosus,12.046874994671878,MSE-TO,rectified_envelope,
Sub16,T01,sEMG: upper tibialis anterior,8.844791660640627,HS-MSF,rectified_envelope,
Sub16,T01,sEMG: lower tibialis anterior,8.815104162984376,HS-MSF,rectified_envelope,
Sub16,T01,sEMG: lateral gastrocnemius,13.464583329140629,MSE-TO,rectified_envelope,
Sub16,T01,sEMG: medial gastrocnemius,10.437499994062502,MSF-MSE,rectified_envelope,
Sub16,T01,sEMG: soleus,3.176562498921875,MSE-TO,rectified_envelope,
Sub17,T01,Kinetic: left hip adduction torque,8.767708335640627,HS-MSF,,maximum
Sub17,T01,Kinetic: left hip flexion torque,10.884375005640628,MSE-TO,,maximum
Sub17,T01,Kinetic: left knee flexion torque,1.920833333640625,MSE-TO,,maximum
Sub17,T01,Kinetic: left ankle flexion torque,8.784375005640626,HS-MSF,,maximum
Sub17,T01,Kinetic: right hip adduction torque,3.31510416771875,MSE-TO,,maximum
Sub17,T01,Kinetic: right hip flexion torque,6.670833335890626,MWF-HS,,maximum
Sub17,T01,Kinetic: right knee flexion torque,8.667708335640627,MWF-HS,,maximum
Sub17,T01,Kinetic: right ankle flexion torque,10.334375005640627,MSF-MSE,,maximum
Sub17,T01,sEMG: tensor fascia lata,11.869791669406254,MSF-MSE,rectified_envelope,
Sub17,T01,sEMG: rectus femoris,5.753645837500001,MSF-MSE,rectified_envelope,
Sub17,T01,sEMG: vastus medialis,6.584895837015626,MWF-HS,rectified_envelope,
Sub17,T01,sEMG: semimembranosus,0.648437500109375,MSE-TO,rectified_envelope,
Sub17,T01,sEMG: upper tibialis anterior,9.478125004390629,MSE-TO,rectified_envelope,
Sub17,T01,sEMG: lower tibialis anterior,2.1484374976875,TO-MWF,rectified_envelope,
